proc       sintheta         tanbeta          Mxd          mA           ma           Xsec(pb)    error
gg            0.8             1.0            10           1000          350           0.3795    0.001061
gg            0.35             1.0            10           900          300           0.03722    0.000112
gg            0.35             50.0            10           600          100           0.05891    0.0001945
gg            0.35             1.0            10           1600          350           0.01035    2.504e-05
gg            0.35             8.0            10           600          300           0.008142    6.27e-06
gg            0.35             20.0            10           600          500           0.000154    3.065e-07
gg            0.9             1.0            10           600          200           0.3353    0.001304
gg            0.35             1.0            10           1600          150           0.07525    0.0005544
gg            0.35             4.0            10           300          150           0.06813    0.0001919
gg            0.7             1.0            10           300          150           0.643    0.001393
gg            0.35             8.0            10           300          150           0.008532    1.916e-05
gg            0.35             8.0            10           300          250           0.001027    1.658e-06
gg            0.7             0.5            10           300          150           2.612    0.005371
gg            0.7             4.0            10           300          150           0.0294    5.479e-05
gg            0.7             2.0            10           300          150           0.1506    0.0002936
gg            0.35             0.5            10           300          250           0.5277    0.001788
gg            0.7             8.0            10           300          150           0.00508    7.787e-06
gg            0.35             1.0            10           300          250           0.1308    0.0004417
gg            0.35             0.5            10           300          150           6.509    0.01128
gg            0.35             2.0            10           300          150           0.3714    0.0005925
gg            0.35             1.0            10           500          350           0.05369    6.437e-05
gg            0.35             1.0            10           400          350           0.03538    7.907e-05
gg            0.35             4.0            10           300          250           0.006146    2.349e-05
gg            0.7             1.5            10           300          150           0.2782    0.0005791
gg            0.5             1.0            10           600          200           0.274    0.000434
gg            0.35             0.5            10           600          250           0.2545    0.0004434
gg            0.35             1.0            10           1000          250           0.02742    0.0001406
gg            0.35             1.0            10           800          150           0.1171    0.0006796
gg            0.35             1.5            10           300          150           0.6912    0.001093
gg            0.35             2.0            10           300          250           0.0308    0.0001012
gg            0.35             1.5            10           300          250           0.05674    0.0001831
bb            0.35             4.0            10           500          150           0.0162    9.403e-05
bb            0.35             1.0            10           300          150           0.003121    1.066e-05
bb            0.35             20.0            10           600          350           0.04732    0.0001921
bb            0.35             1.0            10           1400          150           0.0004478    2.069e-06
bb            0.35             10.0            10           600          400           0.01144    5.331e-05
bb            0.35             1.0            10           800          350           8.46e-05    3.544e-07
bb            0.35             10.0            10           600          250           0.03415    0.0001512
bb            0.35             1.0            10           400          200           0.0005358    1.608e-06
bb            0.35             1.0            10           400          150           0.0009398    3.164e-06
bb            0.35             1.0            10           1000          350           7.358e-05    2.597e-07
bb            0.35             10.0            10           600          150           0.07669    0.0004827
bb            0.35             1.0            10           700          300           0.0001485    5.134e-07
bb            0.35             1.0            10           700          400           5.432e-05    2.496e-07
bb            0.35             20.0            10           600          300           0.07261    0.0002775
bb            0.35             0.5            10           600          400           8.208e-06    3.996e-08
bb            0.35             0.8            10           600          500           9.695e-06    4.543e-08
bb            0.35             2.0            10           600          100           0.007022    5.2e-05
bb            0.35             30.0            10           600          500           0.01719    7.272e-05
bb            0.35             1.0            10           900          350           7.871e-05    3.624e-07
bb            0.35             1.0            10           600          350           9.659e-05    3.33e-07
bb            0.35             0.5            10           600          200           8.584e-05    2.755e-07
bb            0.35             1.5            10           300          150           0.006971    2.384e-05
bb            0.35             2.0            10           600          250           0.001242    3.84e-06
bb            0.35             30.0            10           600          400           0.05014    0.0002233
bb            0.35             10.0            10           600          300           0.02391    7.792e-05
bb            0.35             0.5            10           300          150           0.0007785    2.666e-06
bb            0.35             0.8            10           600          300           9.604e-05    3.211e-07
bb            0.35             1.0            10           600          150           0.0006834    5.359e-06
bb            0.35             1.0            10           800          300           0.0001376    5.018e-07
bb            0.35             1.0            10           1200          350           6.5e-05    2.44e-07
bb            0.35             1.0            10           900          500           1.995e-05    9.719e-08
bb            0.35             1.5            10           600          150           0.001626    1.218e-05
bb            0.35             1.0            10           200          100           0.003305    1.498e-05
bb            0.1             1.0            10           600          200           2.661e-05    1.787e-07
bb            0.35             0.5            10           600          300           3.281e-05    1.229e-07
bb            0.35             0.5            10           600          100           0.0004055    3.213e-06
bb            0.35             20.0            10           600          250           0.109    0.0003892
bb            0.35             0.8            10           600          400           3.035e-05    1.499e-07
bb            0.35             1.0            10           300          250           0.0009777    3.276e-06
bb            0.35             0.8            10           600          350           5.537e-05    2.033e-07
